customer_id,occupation,has_children,marital_status,customer_psy,ecom_experience,age,education,gender
1,Professional,U,MARRIED,A,Y,UNKNOWN,BACHELORS,M
2,Blue Collar,Y,SINGLE,A,N,UNKNOWN,LESS_THAN_HS,M
3,Professional,U,MARRIED,A,N,UNKNOWN,SOME_COLLEGE,M
4,Professional,U,,A,N,UNKNOWN,SOME_COLLEGE,U
5,Sales/Service,N,,A,Y,UNKNOWN,HS,U
6,Professional,U,SINGLE,A,Y,UNKNOWN,SOME_COLLEGE,M
7,Professional,U,MARRIED,A,N,UNKNOWN,SOME_COLLEGE,F
8,Professional,U,MARRIED,A,Y,UNKNOWN,HS,F
9,Professional,Y,,A,Y,UNKNOWN,BACHELORS,F
10,Professional,U,,A,N,UNKNOWN,,M
11,Professional,N,SINGLE,A,N,UNKNOWN,SOME_COLLEGE,M
12,Sales/Service,U,SINGLE,A,Y,UNKNOWN,SOME_COLLEGE,M
13,Sales/Service,U,,A,N,UNKNOWN,LESS_THAN_HS,F
14,Sales/Service,N,MARRIED,A,Y,UNKNOWN,HS,M
15,Sales/Service,N,SINGLE,A,N,UNKNOWN,BACHELORS,M
16,Professional,U,,A,Y,UNKNOWN,SOME_COLLEGE,F
17,Blue Collar,U,MARRIED,A,Y,UNKNOWN,HS,M
18,Blue Collar,Y,,A,N,UNKNOWN,LESS_THAN_HS,M
19,Sales/Service,U,,A,N,UNKNOWN,HS,M
20,Professional,Y,,A,N,UNKNOWN,HS,M
21,Sales/Service,U,MARRIED,A,N,UNKNOWN,GRADUATE,M
22,Professional,U,SINGLE,A,Y,UNKNOWN,GRADUATE,M
23,Sales/Service,N,SINGLE,A,Y,UNKNOWN,SOME_COLLEGE,F
24,Professional,N,SINGLE,A,N,UNKNOWN,LESS_THAN_HS,M
25,Sales/Service,N,SINGLE,A,N,UNKNOWN,,M
26,Professional,U,SINGLE,A,N,UNKNOWN,GRADUATE,M
27,Sales/Service,U,MARRIED,A,Y,UNKNOWN,HS,F
28,Sales/Service,Y,,A,N,UNKNOWN,SOME_COLLEGE,F
29,Blue Collar,U,SINGLE,A,N,UNKNOWN,SOME_COLLEGE,M
30,Sales/Service,Y,,A,N,UNKNOWN,LESS_THAN_HS,U
31,Sales/Service,N,SINGLE,A,Y,UNKNOWN,SOME_COLLEGE,M
32,Professional,N,SINGLE,A,Y,UNKNOWN,SOME_COLLEGE,M
33,Sales/Service,U,SINGLE,A,Y,UNKNOWN,GRADUATE,U
34,Sales/Service,Y,MARRIED,A,N,UNKNOWN,BACHELORS,U
35,Professional,N,SINGLE,A,N,UNKNOWN,BACHELORS,U
36,Professional,N,SINGLE,A,N,UNKNOWN,,M
37,Blue Collar,N,,A,Y,UNKNOWN,SOME_COLLEGE,M
38,Professional,U,SINGLE,A,N,UNKNOWN,SOME_COLLEGE,M
39,Sales/Service,N,SINGLE,A,Y,UNKNOWN,BACHELORS,M
40,Sales/Service,U,MARRIED,A,N,UNKNOWN,BACHELORS,M
41,Professional,U,MARRIED,A,N,UNKNOWN,HS,F
42,Sales/Service,U,SINGLE,A,Y,UNKNOWN,SOME_COLLEGE,M
43,Sales/Service,N,SINGLE,A,N,UNKNOWN,SOME_COLLEGE,F
44,Sales/Service,N,SINGLE,A,Y,UNKNOWN,BACHELORS,M
45,Sales/Service,U,SINGLE,A,Y,UNKNOWN,HS,M
46,Sales/Service,Y,SINGLE,A,Y,UNKNOWN,BACHELORS,U
47,Professional,U,SINGLE,A,Y,UNKNOWN,BACHELORS,M
48,Sales/Service,U,SINGLE,A,Y,UNKNOWN,SOME_COLLEGE,M
49,Professional,N,MARRIED,A,N,UNKNOWN,BACHELORS,U
50,Sales/Service,Y,MARRIED,A,N,UNKNOWN,HS,M
51,Sales/Service,N,SINGLE,A,Y,UNKNOWN,BACHELORS,F
52,Others,N,,A,Y,UNKNOWN,BACHELORS,M
53,Sales/Service,U,MARRIED,A,Y,UNKNOWN,HS,F
54,Sales/Service,U,SINGLE,A,N,UNKNOWN,GRADUATE,M
55,Sales/Service,U,,A,Y,UNKNOWN,BACHELORS,U
56,Professional,N,SINGLE,A,Y,UNKNOWN,BACHELORS,M
57,Sales/Service,U,MARRIED,A,N,UNKNOWN,HS,F
58,Sales/Service,Y,MARRIED,A,Y,UNKNOWN,SOME_COLLEGE,F
59,Sales/Service,Y,SINGLE,A,Y,UNKNOWN,SOME_COLLEGE,M
60,Sales/Service,N,SINGLE,A,N,UNKNOWN,GRADUATE,M
61,Blue Collar,U,SINGLE,A,Y,UNKNOWN,GRADUATE,M
62,Professional,N,,A,Y,UNKNOWN,GRADUATE,M
63,Blue Collar,U,,A,Y,UNKNOWN,SOME_COLLEGE,M
64,Sales/Service,U,MARRIED,A,Y,UNKNOWN,HS,F
65,Sales/Service,N,,A,Y,UNKNOWN,SOME_COLLEGE,U
66,Sales/Service,U,,A,Y,UNKNOWN,BACHELORS,F
67,Sales/Service,U,MARRIED,A,Y,UNKNOWN,LESS_THAN_HS,U
68,Professional,N,SINGLE,A,N,UNKNOWN,GRADUATE,U
69,Professional,U,,A,Y,UNKNOWN,SOME_COLLEGE,F
70,Professional,U,SINGLE,A,N,UNKNOWN,BACHELORS,F
71,Sales/Service,N,SINGLE,A,Y,UNKNOWN,GRADUATE,M
72,Sales/Service,Y,SINGLE,A,Y,UNKNOWN,BACHELORS,U
73,Sales/Service,U,SINGLE,A,N,UNKNOWN,HS,M
74,Professional,N,MARRIED,A,Y,UNKNOWN,HS,M
75,Professional,U,MARRIED,A,N,UNKNOWN,BACHELORS,F
76,Sales/Service,U,SINGLE,A,N,UNKNOWN,SOME_COLLEGE,F
77,Professional,Y,,A,Y,UNKNOWN,SOME_COLLEGE,M
78,Blue Collar,N,SINGLE,A,Y,UNKNOWN,GRADUATE,M
79,Professional,N,SINGLE,A,N,UNKNOWN,BACHELORS,M
80,Others,Y,,A,N,UNKNOWN,HS,F
81,Sales/Service,N,MARRIED,A,Y,UNKNOWN,GRADUATE,U
82,Sales/Service,N,MARRIED,A,Y,UNKNOWN,BACHELORS,F
83,Sales/Service,U,MARRIED,A,N,UNKNOWN,HS,F
84,Sales/Service,U,SINGLE,A,N,UNKNOWN,BACHELORS,M
85,Sales/Service,U,,A,N,UNKNOWN,HS,F
86,Others,N,SINGLE,A,Y,UNKNOWN,SOME_COLLEGE,M
87,Professional,N,,A,Y,UNKNOWN,GRADUATE,M
88,Sales/Service,N,,A,N,UNKNOWN,SOME_COLLEGE,F
89,Sales/Service,U,MARRIED,A,N,UNKNOWN,GRADUATE,F
90,Sales/Service,N,MARRIED,A,Y,UNKNOWN,BACHELORS,M
91,Sales/Service,Y,,A,Y,UNKNOWN,SOME_COLLEGE,F
92,Sales/Service,Y,SINGLE,A,Y,UNKNOWN,HS,F
93,Professional,N,SINGLE,A,Y,UNKNOWN,BACHELORS,M
94,Professional,N,SINGLE,A,N,UNKNOWN,GRADUATE,U
95,Sales/Service,N,SINGLE,A,Y,UNKNOWN,HS,M
96,Professional,Y,MARRIED,A,N,UNKNOWN,SOME_COLLEGE,M
97,Sales/Service,U,SINGLE,A,N,UNKNOWN,BACHELORS,M
98,Sales/Service,N,SINGLE,A,Y,UNKNOWN,HS,M
99,Professional,U,MARRIED,A,N,UNKNOWN,GRADUATE,M
100,Sales/Service,U,MARRIED,A,Y,UNKNOWN,BACHELORS,M
101,Sales/Service,N,,A,Y,UNKNOWN,SOME_COLLEGE,F
102,Others,U,,A,N,UNKNOWN,HS,F
103,Sales/Service,U,MARRIED,A,Y,UNKNOWN,BACHELORS,M
104,Sales/Service,N,MARRIED,A,Y,UNKNOWN,BACHELORS,F
105,Others,Y,,A,N,UNKNOWN,,M
