id,house_owner,mortgage,value,car_probability
1,,LOW,2000000,5
2,,LOW,0,7
3,RENTER,LOW,0,8
4,OWNER,Med,239560,2
5,RENTER,LOW,0,9
6,,LOW,280173,1
7,RENTER,LOW,809434,2
8,,LOW,242455,6
9,RENTER,LOW,287119,1
10,,LOW,631764,5
11,RENTER,LOW,321634,4
12,,LOW,452786,9
13,RENTER,LOW,0,9
14,,LOW,0,8
15,RENTER,LOW,0,8
16,OWNER,LOW,159040,1
17,RENTER,LOW,0,5
18,,LOW,0,3
19,RENTER,LOW,0,3
20,RENTER,LOW,682390,5
21,RENTER,LOW,483830,6
22,OWNER,LOW,474150,8
23,RENTER,LOW,0,9
24,,LOW,2262622,6
25,OWNER,LOW,319086,8
26,OWNER,High,1908590,7
27,OWNER,LOW,1500000,8
28,,LOW,544320,5
29,,LOW,201432,8
30,,LOW,32514,6
31,RENTER,LOW,0,8
32,OWNER,High,463882,7
33,,LOW,0,9
34,RENTER,LOW,0,7
35,RENTER,LOW,0,5
36,,LOW,836532,5
37,,LOW,0,3
38,OWNER,High,480297,1
39,OWNER,LOW,0,8
40,OWNER,LOW,0,7
41,,LOW,0,6
42,RENTER,LOW,0,8
43,RENTER,LOW,0,7
44,RENTER,LOW,0,8
45,RENTER,LOW,0,7
46,RENTER,LOW,0,7
47,OWNER,LOW,338240,7
48,OWNER,LOW,0,6
49,,LOW,712892,6
50,,LOW,226436,9
51,OWNER,LOW,0,8
52,RENTER,LOW,0,3
53,RENTER,LOW,569089,8
54,RENTER,LOW,0,4
55,RENTER,LOW,0,3
56,OWNER,High,390830,6
57,OWNER,LOW,403027,6
58,,LOW,0,9
59,RENTER,LOW,54151,4
60,RENTER,LOW,0,8
61,RENTER,LOW,474673,6
62,RENTER,LOW,0,8
63,,LOW,0,9
64,,LOW,681250,1
65,RENTER,LOW,0,3
66,,LOW,0,5
67,RENTER,LOW,841698,6
68,RENTER,LOW,0,8
69,,LOW,0,3
70,OWNER,LOW,98100,8
71,OWNER,High,737788,7
72,RENTER,LOW,0,3
73,RENTER,LOW,0,7
74,OWNER,Med,294191,1
75,RENTER,LOW,340625,8
76,OWNER,Med,206162,7
77,RENTER,LOW,494958,5
78,,LOW,0,8
79,OWNER,High,729210,7
80,OWNER,LOW,317100,8
81,OWNER,LOW,0,8
82,OWNER,LOW,0,8
83,RENTER,LOW,498889,8
84,RENTER,LOW,2461875,7
85,RENTER,LOW,0,3
86,RENTER,LOW,529947,8
87,RENTER,LOW,0,3
88,,LOW,0,3
89,OWNER,LOW,315882,6
90,RENTER,LOW,0,8
91,RENTER,LOW,0,6
92,RENTER,LOW,0,9
93,,LOW,430757,5
94,RENTER,LOW,1000000,6
95,RENTER,LOW,806872,5
96,RENTER,LOW,400575,2
97,OWNER,Med,246340,9
98,,LOW,0,8
99,RENTER,LOW,0,5
100,OWNER,LOW,440160,8
101,RENTER,LOW,0,3
102,RENTER,LOW,0,1
103,RENTER,LOW,0,3
104,OWNER,High,394928,1
105,RENTER,LOW,0,7
106,,LOW,0,3
107,RENTER,LOW,369782,1
108,OWNER,LOW,194435,7
109,OWNER,Med,250874,2
110,RENTER,LOW,2000000,3
111,,LOW,0,4
112,RENTER,LOW,667014,7
113,OWNER,LOW,0,4
114,OWNER,Med,211242,2
115,OWNER,LOW,0,8
116,RENTER,LOW,0,7
117,RENTER,LOW,57620,7
118,OWNER,High,0,7
119,RENTER,LOW,0,3
120,,LOW,301280,8
121,RENTER,LOW,0,8
122,,LOW,0,8
123,RENTER,LOW,230037,1
124,RENTER,LOW,547103,8
125,,LOW,0,8
126,OWNER,LOW,0,2
127,RENTER,LOW,0,3
128,,LOW,0,8
129,OWNER,LOW,307543,1
130,,LOW,0,2
131,RENTER,LOW,0,7
132,RENTER,LOW,427683,1
133,,LOW,377303,7
134,RENTER,LOW,210560,8
135,,LOW,240639,6
136,,LOW,600000,7
137,OWNER,LOW,0,3
138,,LOW,485322,1
139,RENTER,LOW,439855,6
140,OWNER,LOW,911676,4
141,OWNER,LOW,201650,8
142,RENTER,LOW,0,3
143,RENTER,LOW,0,9
144,RENTER,LOW,0,1
145,RENTER,LOW,411575,5
146,RENTER,LOW,0,9
147,RENTER,LOW,0,6
148,,LOW,0,9
149,OWNER,LOW,480480,7
150,RENTER,LOW,0,1
151,RENTER,LOW,319261,7
152,OWNER,LOW,1049702,7
153,RENTER,LOW,0,1
154,,LOW,554810,4
155,RENTER,LOW,0,7
156,,LOW,379680,8
157,OWNER,LOW,0,3
158,OWNER,LOW,536280,6
159,,LOW,143667,7
160,RENTER,LOW,0,9
161,,LOW,0,8
162,RENTER,LOW,0,8
163,,LOW,171707,9
164,,LOW,0,8
165,,LOW,0,4
166,RENTER,LOW,0,9
167,OWNER,High,294300,1
168,,LOW,702951,6
169,RENTER,LOW,0,9
170,RENTER,LOW,444720,2
171,OWNER,Med,268445,3
172,OWNER,High,400030,8
173,RENTER,LOW,289752,7
174,,LOW,0,3
175,RENTER,LOW,415835,1
176,RENTER,LOW,354257,7
177,RENTER,LOW,0,8
178,RENTER,LOW,965876,5
179,RENTER,LOW,393461,2
180,,LOW,246400,1
181,RENTER,LOW,161211,8
182,RENTER,LOW,348745,7
183,RENTER,LOW,0,7
184,OWNER,LOW,0,1
185,OWNER,LOW,232987,1
186,,LOW,447957,5
187,OWNER,High,395615,6
188,,LOW,287520,2
189,RENTER,LOW,0,8
190,OWNER,LOW,504452,6
191,OWNER,LOW,168633,8
192,RENTER,LOW,1495284,6
193,OWNER,Med,206207,3
194,RENTER,LOW,875821,6
195,RENTER,LOW,0,7
196,,LOW,0,8
197,RENTER,LOW,0,3
198,,LOW,0,5
199,RENTER,LOW,0,5
200,,LOW,0,8
201,RENTER,LOW,204331,8
202,RENTER,LOW,0,9
203,RENTER,LOW,0,8
204,OWNER,Med,198925,9
205,RENTER,LOW,620241,7
206,OWNER,LOW,0,2
207,,LOW,0,8
208,OWNER,LOW,609280,6
209,,LOW,0,5
210,RENTER,LOW,490500,7
211,OWNER,LOW,0,2
212,OWNER,LOW,272500,2
213,RENTER,LOW,0,5
214,,LOW,0,3
215,,LOW,0,8
216,RENTER,LOW,175194,9
217,RENTER,LOW,275122,3
218,OWNER,LOW,192276,9
219,,LOW,313600,1
220,OWNER,LOW,88889,2
221,,LOW,5000000,1
222,RENTER,LOW,0,3
223,,LOW,494947,5
224,RENTER,LOW,0,7
225,RENTER,LOW,585558,2
226,RENTER,LOW,0,8
227,RENTER,LOW,0,8
228,RENTER,LOW,458439,1
229,RENTER,LOW,397959,8
230,OWNER,LOW,593505,4
231,RENTER,LOW,544727,2
232,,LOW,0,3
233,RENTER,LOW,424810,5
234,RENTER,LOW,0,8
235,RENTER,LOW,0,2
236,RENTER,LOW,0,6
237,RENTER,LOW,270320,3
