id,family_income
1,C
2,D
3,E
4,E
5,B
6,E
7,H
8,E
9,F
10,I
11,K
12,H
13,D
14,C
15,A
16,E
17,F
18,E
19,D
20,G
21,K
22,C
23,A
24,L
25,F
26,F
27,D
28,D
29,F
30,A
31,D
32,E
33,D
34,E
35,K
36,J
37,C
38,G
39,E
40,G
41,H
42,D
43,F
44,G
45,B
46,F
47,E
48,D
49,G
50,E
51,C
52,E
53,D
54,G
55,J
56,E
57,C
58,D
59,H
60,A
61,E
62,F
63,G
64,J
65,G
66,B
67,H
68,B
69,G
70,G
71,F
72,E
73,E
74,E
75,D
76,F
77,F
78,D
79,F
80,F
81,E
82,E
83,E
84,E
85,F
86,E
87,D
88,E
89,E
90,E
91,C
92,D
93,U
94,K
95,H
96,E
97,D
98,D
99,G
100,C
101,E
102,E
103,E
104,E
105,E
106,F
107,F
108,E
109,E
110,I
111,E
112,J
113,F
114,B
115,K
116,E
117,G
118,E
119,C
120,D
121,F
122,E
123,F
124,E
125,E
126,B
127,E
128,L
129,F
130,D
131,E
132,E
133,E
134,F
135,G
136,E
137,A
138,E
139,H
140,D
141,E
142,D
143,H
144,D
145,F
146,D
147,H
148,D
149,A
150,D
151,G
152,F
153,C
154,G
155,H
156,E
157,E
158,E
159,E
160,F
161,D
162,E
163,E
164,D
165,C
166,D
167,E
168,B
169,I
170,E
171,C
172,E
173,E
174,E
175,F
176,I
177,A
178,D
179,F
180,A
181,E
182,G
183,B
184,E
185,E
186,I
187,F
188,C
189,C
190,C
191,C
192,B
193,E
194,D
195,E
196,A
197,F
198,F
199,E
200,E
201,F
202,E
203,D
204,G
205,J
206,F
207,G
208,K
209,D
210,G
211,H
212,F
213,B
214,D
215,D
216,C
217,G
218,F
219,G
220,E
221,C
222,C
223,A
224,A
225,C
226,D
227,F
228,G
229,K
230,J
231,H
232,B
233,F
234,H
235,E
236,G
237,G
238,J
239,C
240,A
241,K
242,G
243,D
244,C
245,D
246,H
247,A
248,E
249,E
250,E
251,G
252,D
253,H
254,D
255,F
256,I
257,G
258,D
259,D
260,L
261,E
262,B
263,F
264,E
265,A
266,E
267,E
268,E
269,B
270,C
271,F
272,B
273,B
274,C
275,K
276,C
277,J
278,H
279,E
280,E
281,H
282,A
283,B
284,E
285,E
286,E
287,A
288,D
289,E
290,K
291,E
292,E
293,K
294,D
295,F
296,D
297,C
298,D
299,F
300,H
301,E
302,E
303,F
304,G
305,D
306,E
307,H
308,B
309,F
310,E
311,F
312,F
313,F
314,C
315,K
316,D
317,E
318,E
319,E
320,F
321,F
322,E
323,D
324,H
325,G
326,G
327,E
328,G
329,F
330,E
331,E
332,G
333,B
334,E
335,F
336,B
337,K
338,D
339,E
