is_product_purchased,id,location_id,income_id,housing_id
Y,1,1,1,1
N,2,3,2,2
N,3,3,3,3
N,4,4,4,4
Y,5,4,5,5
Y,6,4,6,6
N,7,4,7,7
N,8,3,8,8
Y,9,3,9,9
Y,10,4,10,10
Y,11,3,11,11
N,12,4,12,12
N,13,3,13,13
Y,14,3,14,14
Y,15,4,15,15
N,16,4,16,16
N,17,4,17,17
N,18,3,18,18
N,19,1,19,19
Y,20,1,20,20
Y,21,3,21,21
Y,22,4,22,22
Y,23,4,23,23
Y,24,1,24,24
N,25,4,25,25
N,26,4,26,26
N,27,2,27,27
Y,28,1,28,28
N,29,3,29,29
N,30,3,30,30
N,31,1,31,31
Y,32,1,32,32
Y,33,1,33,33
Y,34,3,34,34
N,35,1,35,35
N,36,3,36,36
Y,37,4,37,37
N,38,3,38,38
Y,39,2,39,39
N,40,2,40,40
N,41,1,41,41
N,42,4,42,42
N,43,2,43,43
Y,44,4,44,44
Y,45,3,45,45
N,46,1,46,46
Y,47,1,47,47
Y,48,1,48,48
N,49,4,49,49
Y,50,3,50,50
N,51,1,51,51
N,52,1,52,52
N,53,1,53,53
Y,54,3,54,54
Y,55,3,55,55
Y,56,3,56,56
N,57,1,57,57
Y,58,4,58,58
N,59,3,59,59
Y,60,3,60,60
Y,61,3,61,61
Y,62,1,62,62
Y,63,3,63,63
Y,64,1,64,64
N,65,3,65,65
Y,66,4,66,66
N,67,1,67,67
Y,68,1,68,68
N,69,3,69,69
N,70,3,70,70
Y,71,3,71,71
Y,72,1,72,72
N,73,4,73,73
N,74,2,74,74
N,75,1,75,75
N,76,1,76,76
Y,77,3,77,77
N,78,2,78,78
N,79,1,79,79
N,80,4,80,80
N,81,4,81,81
Y,82,1,82,82
N,83,4,83,83
N,84,4,84,84
Y,85,4,85,85
Y,86,3,86,86
Y,87,3,87,87
N,88,4,88,88
Y,89,1,89,89
Y,90,4,90,90
N,91,3,91,91
N,92,3,92,92
Y,93,1,93,93
Y,94,1,94,94
Y,95,1,95,95
N,96,4,96,96
Y,97,2,97,97
Y,98,3,98,98
Y,99,3,99,99
Y,100,3,100,100
Y,101,4,101,101
Y,102,3,102,102
Y,103,4,103,103
N,104,3,104,104
Y,105,3,105,105
N,106,4,106,106
Y,107,4,107,107
N,108,4,108,108
N,109,4,109,109
Y,110,1,110,110
Y,111,3,111,111
Y,112,3,112,112
N,113,3,113,113
N,114,4,114,114
Y,115,1,115,115
N,116,4,116,116
Y,117,4,117,117
N,118,2,118,118
N,119,2,119,119
N,120,4,120,120
Y,121,1,121,121
Y,122,2,122,122
Y,123,3,123,123
Y,124,4,124,124
Y,125,2,125,125
Y,126,4,126,126
N,127,2,127,127
Y,128,1,128,128
Y,129,1,129,129
Y,130,4,130,130
Y,131,4,131,131
N,132,4,132,132
Y,133,1,133,133
Y,134,2,134,134
Y,135,2,135,135
Y,136,3,136,136
N,137,2,137,137
N,138,4,138,138
N,139,3,139,139
N,140,1,140,140
N,141,3,141,141
Y,142,4,142,142
Y,143,4,143,143
Y,144,3,144,144
N,145,3,145,145
Y,146,3,146,146
Y,147,4,147,147
N,148,4,148,148
N,149,1,149,149
N,150,2,150,150
N,151,1,151,151
N,152,4,152,152
Y,153,2,153,153
Y,154,2,154,154
N,155,1,155,155
Y,156,1,156,156
N,157,2,157,157
N,158,4,158,158
N,159,3,159,159
Y,160,1,160,160
Y,161,4,161,161
Y,162,1,162,162
Y,163,2,163,163
N,164,1,164,164
N,165,4,165,165
Y,166,2,166,166
Y,167,2,167,167
N,168,4,168,168
Y,169,3,169,169
Y,170,3,170,170
Y,171,3,171,171
Y,172,4,172,172
N,173,4,173,173
Y,174,1,174,174
N,175,1,175,175
Y,176,4,176,176
Y,177,1,177,177
N,178,5,178,178
Y,179,3,179,179
Y,180,3,180,180
Y,181,3,181,181
N,182,1,182,182
N,183,1,183,183
Y,184,1,184,184
N,185,3,185,185
N,186,1,186,186
Y,187,4,187,187
Y,188,3,188,188
N,189,1,189,189
Y,190,4,190,190
Y,191,3,191,191
N,192,4,192,192
Y,193,3,193,193
Y,194,1,194,194
N,195,1,195,195
Y,196,1,196,196
Y,197,3,197,197
Y,198,3,198,198
Y,199,1,199,199
N,200,3,200,200
N,201,2,201,201
Y,202,2,202,202
Y,203,1,203,203
N,204,4,204,204
Y,205,4,205,205
N,206,2,206,206
N,207,3,207,207
N,208,1,208,208
Y,209,5,209,209
Y,210,1,210,210
N,211,1,211,211
Y,212,4,212,212
N,213,4,213,213
N,214,3,214,214
Y,215,3,215,215
Y,216,1,216,216
Y,217,3,217,217
Y,218,3,218,218
N,219,2,219,219
N,220,3,220,220
N,221,4,221,221
Y,222,1,222,222
N,223,3,223,223
N,224,4,224,224
N,225,2,225,225
Y,226,4,226,226
Y,227,1,227,227
N,228,4,228,228
N,229,1,229,229
Y,230,4,230,230
N,231,3,231,231
Y,232,3,232,232
Y,233,3,233,233
Y,234,2,234,234
N,235,1,235,235
Y,236,2,236,236
Y,237,4,237,237
Y,238,3,238,238
Y,239,4,239,239
Y,240,1,240,240
N,241,3,241,241
N,242,3,242,242
Y,243,2,243,243
N,244,1,244,244
Y,245,2,245,245
N,246,3,246,246
Y,247,1,247,247
Y,248,4,248,248
Y,249,4,249,249
N,250,3,250,250
Y,251,1,251,251
N,252,1,252,252
N,253,2,253,253
Y,254,3,254,254
Y,255,3,255,255
N,256,3,256,256
Y,257,1,257,257
Y,258,1,258,258
Y,259,2,259,259
Y,260,4,260,260
Y,261,4,261,261
Y,262,4,262,262
N,263,1,263,263
N,264,3,264,264
N,265,3,265,265
N,266,2,266,266
Y,267,2,267,267
N,268,2,268,268
N,269,4,269,269
Y,270,4,270,270
Y,271,3,271,271
Y,272,4,272,272
N,273,3,273,273
Y,274,4,274,274
N,275,3,275,275
N,276,4,276,276
N,277,1,277,277
Y,278,1,278,278
Y,279,3,279,279
N,280,3,280,280
N,281,1,281,281
Y,282,4,282,282
N,283,2,283,283
Y,284,3,284,284
N,285,2,285,285
N,286,3,286,286
N,287,2,287,287
N,288,3,288,288
N,289,2,289,289
Y,290,4,290,290
N,291,4,291,291
Y,292,4,292,292
N,293,4,293,293
Y,294,2,294,294
Y,295,3,295,295
Y,296,1,296,296
Y,297,1,297,297
N,298,3,298,298
N,299,4,299,299
Y,300,2,300,300
Y,301,1,301,301
Y,302,4,302,302
N,303,2,303,303
N,304,4,304,304
Y,305,2,305,305
N,306,2,306,306
N,307,1,307,307
N,308,1,308,308
Y,309,4,309,309
N,310,2,310,310
N,311,4,311,311
N,312,3,312,312
Y,313,3,313,313
Y,314,4,314,314
Y,315,2,315,315
Y,316,2,316,316
N,317,4,317,317
N,318,2,318,318
Y,319,2,319,319
N,320,4,320,320
Y,321,3,321,321
N,322,1,322,322
Y,323,2,323,323
Y,324,4,324,324
Y,325,1,325,325
N,326,4,326,326
N,327,4,327,327
Y,328,4,328,328
Y,329,2,329,329
Y,330,2,330,330
Y,331,4,331,331
Y,332,3,332,332
N,333,2,333,333
N,334,3,334,334
N,335,1,335,335
N,336,3,336,336
N,337,4,337,337
N,338,1,338,338
N,339,1,339,339
Y,340,4,340,340
N,341,4,341,341
Y,342,4,342,342
N,343,2,343,343
Y,344,3,344,344
N,345,3,345,345
N,346,3,346,346
Y,347,1,347,347
N,348,3,348,348
Y,349,1,349,349
Y,350,4,350,350
N,351,1,351,351
N,352,4,352,352
Y,353,4,353,353
N,354,4,354,354
N,355,4,355,355
N,356,1,356,356
Y,357,3,357,357
Y,358,1,358,358
Y,359,1,359,359
Y,360,1,360,360
Y,361,1,361,361
Y,362,1,362,362
N,363,3,363,363
N,364,2,364,364
Y,365,3,365,365
Y,366,1,366,366
Y,367,1,367,367
Y,368,4,368,368
N,369,3,369,369
N,370,3,370,370
Y,371,1,371,371
Y,372,4,372,372
N,373,3,373,373
Y,374,4,374,374
N,375,1,375,375
N,376,4,376,376
Y,377,3,377,377
Y,378,4,378,378
Y,379,3,379,379
Y,380,1,380,380
N,381,2,381,381
N,382,4,382,382
Y,383,4,383,383
Y,384,3,384,384
Y,385,3,385,385
Y,386,4,386,386
Y,387,4,387,387
Y,388,2,388,388
N,389,4,389,389
N,390,5,390,390
Y,391,2,391,391
N,392,2,392,392
Y,393,2,393,393
Y,394,4,394,394
N,395,4,395,395
Y,396,4,396,396
Y,397,2,397,397
Y,398,3,398,398
N,399,1,399,399
Y,400,3,400,400
Y,401,3,401,401
N,402,3,402,402
N,403,3,403,403
Y,404,3,404,404
Y,405,1,405,405
Y,406,4,406,406
N,407,1,407,407
N,408,3,408,408
Y,409,1,409,409
Y,410,5,410,410
Y,411,3,411,411
Y,412,4,412,412
Y,413,4,413,413
N,414,2,414,414
N,415,2,415,415
Y,416,4,416,416
Y,417,3,417,417
Y,418,1,418,418
N,419,3,419,419
N,420,3,420,420
N,421,3,421,421
Y,422,3,422,422
N,423,2,423,423
N,424,4,424,424
N,425,2,425,425
Y,426,1,426,426
N,427,4,427,427
N,428,3,428,428
Y,429,3,429,429
N,430,2,430,430
Y,431,1,431,431
Y,432,4,432,432
Y,433,3,433,433
Y,434,4,434,434
Y,435,3,435,435
Y,436,3,436,436
N,437,4,437,437
Y,438,3,438,438
N,439,1,439,439
Y,440,3,440,440
N,441,4,441,441
Y,442,4,442,442
N,443,4,443,443
N,444,3,444,444
Y,445,1,445,445
N,446,3,446,446
N,447,4,447,447
N,448,2,448,448
N,449,2,449,449
Y,450,4,450,450
Y,451,3,451,451
Y,452,1,452,452
Y,453,4,453,453
Y,454,1,454,454
N,455,1,455,455
Y,456,4,456,456
Y,457,4,457,457
Y,458,4,458,458
Y,459,3,459,459
N,460,3,460,460
Y,461,1,461,461
Y,462,2,462,462
N,463,3,463,463
N,464,3,464,464
N,465,2,465,465
N,466,2,466,466
Y,467,3,467,467
N,468,3,468,468
N,469,3,469,469
N,470,3,470,470
N,471,4,471,471
Y,472,3,472,472
Y,473,2,473,473
Y,474,4,474,474
Y,475,3,475,475
Y,476,3,476,476
N,477,3,477,477
N,478,4,478,478
N,479,3,479,479
N,480,1,480,480
Y,481,4,481,481
Y,482,2,482,482
N,483,1,483,483
N,484,3,484,484
N,485,3,485,485
N,486,3,486,486
N,487,1,487,487
Y,488,4,488,488
Y,489,1,489,489
Y,490,4,490,490
Y,491,4,491,491
Y,492,3,492,492
Y,493,4,493,493
Y,494,4,494,494
N,495,2,495,495
N,496,4,496,496
N,497,2,497,497
N,498,4,498,498
Y,499,1,499,499
N,500,1,500,500
N,501,3,501,501
Y,502,2,502,502
Y,503,2,503,503
Y,504,3,504,504
N,505,3,505,505
N,506,3,506,506
N,507,4,507,507
Y,508,2,508,508
Y,509,3,509,509
N,510,2,510,510
Y,511,1,511,511
N,512,4,512,512
Y,513,3,513,513
N,514,4,514,514
Y,515,2,515,515
N,516,1,516,516
Y,517,4,517,517
Y,518,3,518,518
Y,519,2,519,519
Y,520,3,520,520
Y,521,4,521,521
N,522,4,522,522
Y,523,1,523,523
N,524,2,524,524
N,525,2,525,525
Y,526,1,526,526
Y,527,3,527,527
Y,528,3,528,528
Y,529,1,529,529
Y,530,2,530,530
Y,531,4,531,531
Y,532,1,532,532
Y,533,1,533,533
N,534,3,534,534
Y,535,2,535,535
Y,536,1,536,536
N,537,2,537,537
Y,538,4,538,538
N,539,4,539,539
N,540,3,540,540
Y,541,2,541,541
N,542,3,542,542
N,543,3,543,543
N,544,4,544,544
N,545,1,545,545
Y,546,3,546,546
N,547,4,547,547
N,548,2,548,548
N,549,3,549,549
N,550,3,550,550
N,551,4,551,551
Y,552,3,552,552
N,553,3,553,553
N,554,2,554,554
Y,555,1,555,555
N,556,1,556,556
Y,557,4,557,557
Y,558,4,558,558
N,559,3,559,559
Y,560,3,560,560
Y,561,2,561,561
N,562,1,562,562
N,563,3,563,563
Y,564,3,564,564
Y,565,4,565,565
Y,566,2,566,566
Y,567,1,567,567
N,568,4,568,568
N,569,3,569,569
Y,570,3,570,570
Y,571,3,571,571
N,572,2,572,572
Y,573,2,573,573
N,574,4,574,574
N,575,4,575,575
Y,576,2,576,576
N,577,1,577,577
Y,578,3,578,578
N,579,3,579,579
N,580,1,580,580
Y,581,1,581,581
N,582,4,582,582
N,583,3,583,583
Y,584,3,584,584
Y,585,3,585,585
Y,586,1,586,586
Y,587,2,587,587
Y,588,3,588,588
N,589,4,589,589
N,590,4,590,590
Y,591,3,591,591
Y,592,4,592,592
Y,593,3,593,593
Y,594,4,594,594
N,595,3,595,595
N,596,3,596,596
Y,597,4,597,597
Y,598,3,598,598
N,599,1,599,599
Y,600,2,600,600
N,601,1,601,601
N,602,3,602,602
N,603,3,603,603
Y,604,3,604,604
Y,605,1,605,605
Y,606,4,606,606
Y,607,3,607,607
N,608,3,608,608
N,609,3,609,609
N,610,3,610,610
N,611,4,611,611
Y,612,2,612,612
Y,613,4,613,613
N,614,1,614,614
N,615,1,615,615
Y,616,3,616,616
Y,617,3,617,617
N,618,4,618,618
Y,619,3,619,619
N,620,3,620,620
Y,621,4,621,621
N,622,2,622,622
Y,623,4,623,623
Y,624,4,624,624
N,625,1,625,625
Y,626,3,626,626
Y,627,3,627,627
N,628,3,628,628
N,629,1,629,629
N,630,3,630,630
Y,631,3,631,631
N,632,3,632,632
Y,633,4,633,633
Y,634,3,634,634
Y,635,3,635,635
Y,636,2,636,636
Y,637,3,637,637
Y,638,3,638,638
N,639,1,639,639
N,640,1,640,640
Y,641,3,641,641
N,642,3,642,642
Y,643,3,643,643
Y,644,4,644,644
N,645,3,645,645
Y,646,4,646,646
Y,647,4,647,647
Y,648,3,648,648
N,649,1,649,649
Y,650,1,650,650
N,651,4,651,651
N,652,3,652,652
N,653,2,653,653
N,654,4,654,654
Y,655,3,655,655
Y,656,2,656,656
N,657,3,657,657
Y,658,1,658,658
N,659,2,659,659
N,660,3,660,660
Y,661,1,661,661
Y,662,2,662,662
N,663,3,663,663
Y,664,3,664,664
N,665,1,665,665
Y,666,4,666,666
N,667,1,667,667
N,668,4,668,668
Y,669,4,669,669
N,670,4,670,670
N,671,1,671,671
Y,672,1,672,672
N,673,3,673,673
N,674,3,674,674
Y,675,4,675,675
N,676,3,676,676
N,677,3,677,677
Y,678,3,678,678
N,679,1,679,679
Y,680,3,680,680
N,681,2,681,681
Y,682,2,682,682
N,683,1,683,683
Y,684,3,684,684
Y,685,3,685,685
N,686,1,686,686
Y,687,2,687,687
Y,688,3,688,688
N,689,3,689,689
Y,690,3,690,690
N,691,4,691,691
N,692,3,692,692
Y,693,2,693,693
N,694,2,694,694
N,695,1,695,695
N,696,3,696,696
Y,697,3,697,697
Y,698,3,698,698
Y,699,3,699,699
Y,700,3,700,700
N,701,4,701,701
N,702,4,702,702
Y,703,1,703,703
N,704,1,704,704
N,705,3,705,705
N,706,3,706,706
N,707,2,707,707
N,708,2,708,708
N,709,3,709,709
Y,710,4,710,710
N,711,3,711,711
Y,712,4,712,712
Y,713,1,713,713
N,714,1,714,714
Y,715,3,715,715
Y,716,3,716,716
Y,717,3,717,717
N,718,4,718,718
N,719,4,719,719
N,720,4,720,720
Y,721,4,721,721
Y,722,3,722,722
N,723,4,723,723
N,724,4,724,724
Y,725,1,725,725
Y,726,4,726,726
N,727,3,727,727
N,728,3,728,728
Y,729,3,729,729
Y,730,3,730,730
N,731,3,731,731
N,732,1,732,732
Y,733,3,733,733
Y,734,4,734,734
Y,735,3,735,735
Y,736,3,736,736
Y,737,3,737,737
N,738,3,738,738
N,739,3,739,739
N,740,4,740,740
Y,741,4,741,741
N,742,1,742,742
N,743,4,743,743
Y,744,1,744,744
Y,745,3,745,745
N,746,2,746,746
Y,747,2,747,747
N,748,2,748,748
N,749,2,749,749
Y,750,4,750,750
Y,751,3,751,751
N,752,1,752,752
N,753,4,753,753
Y,754,4,754,754
N,755,3,755,755
N,756,2,756,756
Y,757,2,757,757
N,758,1,758,758
N,759,3,759,759
Y,760,4,760,760
Y,761,1,761,761
Y,762,3,762,762
Y,763,5,763,763
Y,764,3,764,764
Y,765,3,765,765
Y,766,4,766,766
N,767,4,767,767
N,768,3,768,768
Y,769,2,769,769
N,770,3,770,770
Y,771,2,771,771
N,772,1,772,772
Y,773,3,773,773
N,774,3,774,774
N,775,3,775,775
N,776,3,776,776
N,777,3,777,777
Y,778,3,778,778
Y,779,3,779,779
N,780,3,780,780
Y,781,1,781,781
N,782,3,782,782
N,783,2,783,783
Y,784,1,784,784
N,785,3,785,785
N,786,4,786,786
Y,787,3,787,787
Y,788,1,788,788
Y,789,4,789,789
Y,790,1,790,790
Y,791,4,791,791
N,792,2,792,792
N,793,2,793,793
N,794,1,794,794
Y,795,3,795,795
Y,796,1,796,796
N,797,4,797,797
Y,798,3,798,798
Y,799,1,799,799
Y,800,4,800,800
N,801,1,801,801
N,802,4,802,802
Y,803,3,803,803
N,804,3,804,804
N,805,3,805,805
Y,806,2,806,806
N,807,2,807,807
N,808,1,808,808
N,809,2,809,809
N,810,2,810,810
N,811,1,811,811
N,812,2,812,812
Y,813,3,813,813
N,814,3,814,814
N,815,1,815,815
N,816,4,816,816
N,817,4,817,817
N,818,3,818,818
Y,819,4,819,819
Y,820,1,820,820
Y,821,3,821,821
Y,822,3,822,822
N,823,2,823,823
N,824,1,824,824
Y,825,1,825,825
N,826,1,826,826
Y,827,2,827,827
N,828,3,828,828
N,829,3,829,829
N,830,3,830,830
Y,831,2,831,831
Y,832,2,832,832
N,833,4,833,833
Y,834,4,834,834
Y,835,3,835,835
Y,836,2,836,836
Y,837,3,837,837
N,838,1,838,838
Y,839,1,839,839
Y,840,4,840,840
N,841,4,841,841
Y,842,2,842,842
N,843,3,843,843
Y,844,3,844,844
N,845,4,845,845
Y,846,3,846,846
N,847,3,847,847
Y,848,3,848,848
Y,849,2,849,849
N,850,2,850,850
Y,851,4,851,851
N,852,1,852,852
Y,853,2,853,853
Y,854,1,854,854
N,855,1,855,855
Y,856,1,856,856
N,857,4,857,857
N,858,1,858,858
N,859,4,859,859
Y,860,3,860,860
Y,861,1,861,861
Y,862,3,862,862
N,863,4,863,863
N,864,1,864,864
N,865,1,865,865
N,866,4,866,866
Y,867,3,867,867
Y,868,1,868,868
N,869,4,869,869
N,870,4,870,870
Y,871,3,871,871
Y,872,3,872,872
N,873,1,873,873
N,874,1,874,874
N,875,4,875,875
N,876,1,876,876
Y,877,3,877,877
Y,878,2,878,878
Y,879,3,879,879
Y,880,3,880,880
Y,881,3,881,881
Y,882,4,882,882
Y,883,3,883,883
Y,884,3,884,884
N,885,2,885,885
N,886,1,886,886
Y,887,3,887,887
Y,888,3,888,888
Y,889,2,889,889
Y,890,3,890,890
Y,891,2,891,891
N,892,4,892,892
Y,893,3,893,893
N,894,1,894,894
Y,895,3,895,895
N,896,3,896,896
Y,897,3,897,897
N,898,3,898,898
N,899,4,899,899
N,900,4,900,900
Y,901,3,901,901
N,902,1,902,902
N,903,1,903,903
N,904,4,904,904
N,905,2,905,905
Y,906,2,906,906
Y,907,2,907,907
Y,908,2,908,908
N,909,1,909,909
Y,910,2,910,910
N,911,2,911,911
N,912,4,912,912
N,913,4,913,913
Y,914,4,914,914
Y,915,3,915,915
Y,916,4,916,916
Y,917,4,917,917
Y,918,3,918,918
Y,919,2,919,919
Y,920,2,920,920
Y,921,4,921,921
N,922,3,922,922
Y,923,1,923,923
Y,924,3,924,924
N,925,3,925,925
Y,926,3,926,926
N,927,3,927,927
N,928,4,928,928
Y,929,4,929,929
Y,930,3,930,930
N,931,4,931,931
N,932,3,932,932
N,933,3,933,933
Y,934,4,934,934
Y,935,3,935,935
N,936,3,936,936
Y,937,2,937,937
N,938,3,938,938
N,939,1,939,939
N,940,3,940,940
Y,941,3,941,941
N,942,2,942,942
Y,943,3,943,943
Y,944,4,944,944
N,945,2,945,945
Y,946,4,946,946
N,947,3,947,947
Y,948,2,948,948
N,949,2,949,949
N,950,3,950,950
N,951,1,951,951
N,952,3,952,952
Y,953,4,953,953
N,954,3,954,954
Y,955,1,955,955
Y,956,2,956,956
N,957,1,957,957
N,958,1,958,958
N,959,3,959,959
Y,960,4,960,960
N,961,1,961,961
N,962,3,962,962
Y,963,3,963,963
N,964,4,964,964
N,965,4,965,965
Y,966,2,966,966
Y,967,3,967,967
N,968,3,968,968
Y,969,2,969,969
N,970,1,970,970
Y,971,4,971,971
Y,972,3,972,972
Y,973,3,973,973
N,974,3,974,974
N,975,4,975,975
Y,976,3,976,976
Y,977,4,977,977
Y,978,1,978,978
Y,979,4,979,979
N,980,1,980,980
Y,981,3,981,981
Y,982,1,982,982
N,983,3,983,983
N,984,1,984,984
N,985,1,985,985
Y,986,3,986,986
N,987,3,987,987
Y,988,4,988,988
Y,989,2,989,989
N,990,1,990,990
Y,991,4,991,991
Y,992,3,992,992
N,993,4,993,993
N,994,1,994,994
Y,995,3,995,995
Y,996,4,996,996
Y,997,1,997,997
N,998,1,998,998
N,999,4,999,999
Y,1000,2,1000,1000
Y,1001,4,1001,1001
N,1002,3,1002,1002
N,1003,3,1003,1003
Y,1004,3,1004,1004
N,1005,4,1005,1005
N,1006,3,1006,1006
Y,1007,4,1007,1007
Y,1008,3,1008,1008
N,1009,3,1009,1009
Y,1010,1,1010,1010
Y,1011,3,1011,1011
N,1012,3,1012,1012
N,1013,3,1013,1013
N,1014,3,1014,1014
N,1015,2,1015,1015
N,1016,4,1016,1016
Y,1017,1,1017,1017
Y,1018,4,1018,1018
Y,1019,2,1019,1019
N,1020,1,1020,1020
Y,1021,3,1021,1021
N,1022,2,1022,1022
Y,1023,2,1023,1023
Y,1024,1,1024,1024
Y,1025,3,1025,1025
N,1026,1,1026,1026
Y,1027,4,1027,1027
Y,1028,2,1028,1028
N,1029,2,1029,1029
N,1030,3,1030,1030
Y,1031,3,1031,1031
N,1032,3,1032,1032
Y,1033,4,1033,1033
