Tweet                                                       Match                                                       Polarity       

weather data 432 PM 351F Humidity 99 Wind 78 WNW            []                                                          NEUTRAL        
MagisterLatro We get snowstorms sometimes and the           [cold, enough, kill, nice]                                  NEUTRAL        
F1 BrazilGP WEATHER UPDATE INTERLAGOS Moisture flo          [cloudy, breaks, good, warmer]                              NEUTRAL        
Forecast map for this evening Get Maps and Radars           []                                                          NEUTRAL        
TheLeftistMom Could simply be the weather Wild flu          [wild]                                                      NEGATIVE       
NWSAtlanta Are you going to tone the Freeze Watch           [like, freeze]                                              POSITIVE       
RT RyuichiShigaki 1113 1111                                 []                                                          NEUTRAL        
Perfect red weather today Grey and raining                  [perfect]                                                   POSITIVE       
RT catbirdandteaco sweater weather huggies are bei          []                                                          NEUTRAL        
Day 12 While Im grateful to live in a place with n          [grateful, perfect, fall, reasonable]                       POSITIVE       
RT khilanii if the weather keeps this up thanksgiv          []                                                          NEUTRAL        
3050 wild hogs strike again                                 [hogs, wild, strike]                                        NEGATIVE       
RT FOX55FortWayne Its a chilly evening Temperature          [spotty, chilly]                                            NEGATIVE       
isitokthat the UK media has reported COP26Glasgow           [bad]                                                       NEGATIVE       
RT AlviaAlcedo Last days of May and no summer feel          [cold]                                                      NEGATIVE       
The GMA woman Amy robot the woman might freeze Arc          [wow, mercy, freeze]                                        POSITIVE       
The weather today in Portland                               []                                                          NEUTRAL        
Great weather NYC you never know how it could be h          [great]                                                     POSITIVE       
RT RyuichiShigaki 1113 1111                                 []                                                          NEUTRAL        
RT pieceofcake28 guys heartbreak weather by niall           []                                                          NEUTRAL        
RT MetOfficeSci Our global temperature dataviz by           [rapid]                                                     POSITIVE       
RT BBCBreakfast The Uists Islands are on the front          [unpredictable]                                             NEGATIVE       
RT MaryBellavita This cloudy weather has me wantin          [cloudy]                                                    NEGATIVE       
RT GuisadoPepe Segn estudios cientficos parece ser          []                                                          NEUTRAL        
WEATHER ALERT DANDRUFF WARNING FOR A JAR OF METAMU          [warning]                                                   NEGATIVE       
RT RachelNotley The pandemic isnt over We must get          [vigilant]                                                  POSITIVE       
weatherab Sending thoughts and prayers Hope you fe          [better]                                                    POSITIVE       
RT mansdnh Reminder The ChooseLoveNH bus tour come          [good]                                                      POSITIVE       
I just wanna say bless you to the rainy UK gods fo          [bless]                                                     POSITIVE       
i swear everytime i do that sweater weather diet i          [lose]                                                      NEGATIVE       
ricandess Bitch this weather worse then these nigg          [bitch, worse]                                              NEGATIVE       
Its shocking I tell ya Shocking what potholes and           [well, shocking, smooth, damaged]                           NEGATIVE       
emilybdepalma Idk about you but personally the wea          [strong, depression, worse, helping]                        NEUTRAL        
Such a joy to teach how to build trust as a leader          [trust, wonderful, perfect, joy, leading]                   POSITIVE       
Theres now a weather advisory for heavy rain amp t          [bad]                                                       NEGATIVE       
This 90 degree weather is disrespectful to say the          [disrespectful]                                             NEGATIVE       
I really was not ready for this weather change              [ready]                                                     POSITIVE       
Regina SK Weather Temp89C Dew135C Pressure102530hP          []                                                          NEUTRAL        
RT KCEquityNow COMMUNITY We need your help Marcus           []                                                          NEUTRAL        
Tree So Deadly Just Standing Beneath It Is Dangero          [deadly, dangerous]                                         NEGATIVE       
RT colinphoenix Due to the miserable weather I tho          [classic, genuine, cheer, miserable]                        POSITIVE       
